id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
[100],,,,,,,,,,,,,,,,
T_2016.1,0.000343,35,19,16,1.273110,21,10,11,8,26,12,4,89,45,47,Viável
T_2016.2,0.000239,30,18,12,0.392703,11,1,10,11,20,11,2,16,40,40,Viável
T_2017.1,0.000332,40,23,17,0.604289,13,3,10,13,24,16,1,13,47,47,Viável
T_2017.2,0.000633,53,31,22,0.793163,29,2,27,11,35,15,2,29,69,69,Inviável
T_2018.1,0.000820,62,36,26,0.948762,31,0,31,14,43,19,14,13,86,86,Viável
T_2018.2,0.000906,64,34,30,1.011997,32,1,31,16,41,20,3,34,81,81,Viável
T_2019.1,0.000510,48,31,17,0.885899,24,1,23,13,35,17,2,21,70,70,Viável
1,0.000128,10,0,10,0.264108,10,0,10,0,13,8,0,0,35,35,Viável
2,0.000091,5,0,5,0.222208,5,0,5,0,13,8,0,0,35,35,Viável
3,0.000092,18,11,7,0.273827,5,1,4,9,18,11,1,42,47,47,Inviável
4,0.000103,17,12,5,0.282474,5,0,5,11,19,12,11,10,49,49,Viável
5,0.000100,20,14,6,0.301964,3,0,3,10,21,13,10,9,55,55,Viável
6,0.000150,33,23,10,0.526269,9,0,9,17,31,20,17,16,83,83,Viável
7,0.000159,31,23,8,0.477146,8,0,8,16,31,20,16,15,83,83,Viável
8,0.000182,32,28,4,0.545959,5,0,5,17,33,21,17,16,89,89,Viável
9,0.000174,39,31,8,0.547021,7,1,6,21,34,22,3,57,91,91,Inviável
10,0.000189,39,35,4,0.632755,3,0,3,22,39,25,22,21,103,103,Viável
11,0.000180,47,42,5,0.614396,5,0,5,27,44,28,27,26,118,118,Viável
12,0.000208,48,42,6,0.662595,6,0,6,27,44,28,27,26,118,118,Viável
13,0.000208,53,45,8,0.684922,8,0,8,30,49,31,30,29,130,130,Viável
14,0.000255,58,48,10,0.817994,11,0,11,29,50,32,29,28,132,132,Viável
[200],,,,,,,,,,,,,,,,
T_2016.1,0.000321,31,19,12,4.821117,21,6,15,7,26,12,0,146,45,47,Viável
T_2016.2,0.000228,30,18,12,1.560534,11,1,10,11,20,11,2,16,40,40,Viável
T_2017.1,0.000322,40,23,17,2.415595,13,3,10,13,24,16,1,13,47,47,Viável
T_2017.2,0.000631,52,31,21,3.050297,25,2,23,13,35,15,2,85,69,69,Inviável
T_2018.1,0.000825,68,36,32,3.764604,27,1,26,17,43,19,1,102,86,86,Viável
T_2018.2,0.000966,68,34,34,3.885813,30,1,29,18,41,20,2,19,81,81,Viável
T_2019.1,0.000483,53,31,22,2.837440,22,1,21,13,35,17,13,12,70,70,Inviável
1,0.000126,9,0,9,0.980219,9,0,9,0,13,8,0,0,35,35,Viável
2,0.000075,3,0,3,0.771272,3,0,3,0,13,8,0,0,35,35,Viável
3,0.000106,16,11,5,1.142378,6,0,6,8,18,11,8,7,47,47,Viável
4,0.000116,17,12,5,1.232837,6,0,6,11,19,12,11,10,49,49,Viável
5,0.000105,17,14,3,1.209582,2,0,2,9,21,13,9,8,55,55,Viável
6,0.000165,31,23,8,2.255647,8,0,8,17,31,20,17,16,83,83,Viável
7,0.000143,29,23,6,1.927727,5,0,5,17,31,20,17,16,83,83,Viável
8,0.000168,39,28,11,2.210694,5,1,4,19,33,21,3,49,89,89,Inviável
9,0.000156,33,31,2,2.127218,5,0,5,18,34,22,18,17,91,91,Viável
10,0.000201,42,35,7,2.668116,7,0,7,21,39,25,21,20,103,103,Viável
11,0.000234,52,42,10,3.105616,9,0,9,27,44,28,27,26,118,118,Viável
12,0.000174,46,42,4,2.743461,4,0,4,27,44,28,27,26,118,118,Viável
13,0.000264,58,45,13,3.426088,14,0,14,30,49,31,30,29,130,130,Viável
14,0.000214,52,48,4,3.214941,6,0,6,29,50,32,29,28,132,132,Viável
[300],,,,,,,,,,,,,,,,
T_2016.1,0.000331,41,19,22,11.122816,18,4,14,9,26,12,4,244,45,47,Viável
T_2016.2,0.000238,33,18,15,3.746065,16,2,14,10,20,11,1,219,40,40,Viável
T_2017.1,0.000353,39,23,16,5.298832,14,1,13,13,24,16,2,98,47,47,Viável
T_2017.2,0.000581,58,31,27,7.141628,28,2,26,13,35,15,2,88,69,69,Viável
T_2018.1,0.000832,69,36,33,9.576299,33,4,29,15,43,19,0,24,86,86,Inviável
T_2018.2,0.000865,72,34,38,10.207145,36,3,33,17,41,20,1,33,81,81,Viável
T_2019.1,0.000521,54,31,23,6.761562,19,2,17,16,35,17,2,165,70,70,Inviável
1,0.000124,7,0,7,2.114033,7,0,7,0,13,8,0,0,35,35,Viável
2,0.000066,4,0,4,1.736398,4,0,4,0,13,8,0,0,35,35,Viável
3,0.000097,14,11,3,2.334851,3,0,3,8,18,11,8,7,47,47,Viável
4,0.000106,15,12,3,2.533174,3,0,3,11,19,12,11,10,49,49,Viável
5,0.000103,16,14,2,2.710889,2,0,2,10,21,13,10,9,55,55,Viável
6,0.000162,31,23,8,4.978522,10,0,10,16,31,20,16,15,83,83,Viável
7,0.000137,28,23,5,4.459733,4,0,4,17,31,20,17,16,83,83,Viável
8,0.000161,35,28,7,5.396678,10,0,10,16,33,21,16,15,89,89,Viável
9,0.000177,38,31,7,5.358876,8,0,8,20,34,22,20,19,91,91,Viável
10,0.000180,36,35,1,5.994751,2,1,1,22,39,25,3,241,103,103,Inviável
11,0.000240,53,42,11,7.160242,7,0,7,27,44,28,27,26,118,118,Viável
12,0.000230,49,42,7,7.102634,9,0,9,27,44,28,27,26,118,118,Viável
13,0.000199,51,45,6,7.489401,5,0,5,30,49,31,30,29,130,130,Viável
14,0.000245,55,48,7,8.620994,9,0,9,30,50,32,30,29,132,132,Viável
[400],,,,,,,,,,,,,,,,
T_2016.1,0.000318,39,19,20,20.966244,21,4,17,9,26,12,3,174,45,47,Viável
T_2016.2,0.000229,27,18,9,6.535318,14,1,13,10,20,11,3,35,40,40,Inviável
T_2017.1,0.000314,38,23,15,9.501469,16,1,15,12,24,16,2,30,47,47,Viável
T_2017.2,0.000696,58,31,27,12.647561,26,1,25,13,35,15,3,68,69,69,Viável
T_2018.1,0.001021,66,36,30,16.565275,32,4,28,18,43,19,0,381,86,86,Inviável
T_2018.2,0.000870,67,34,33,17.291613,36,1,35,14,41,20,2,18,81,81,Viável
T_2019.1,0.000476,51,31,20,12.467210,18,1,17,13,35,17,3,44,70,70,Inviável
1,0.000121,9,0,9,4.200023,9,0,9,0,13,8,0,0,35,35,Viável
2,0.000065,2,0,2,2.905007,2,0,2,0,13,8,0,0,35,35,Viável
3,0.000085,15,11,4,3.966531,3,0,3,8,18,11,8,7,47,47,Viável
4,0.000094,15,12,3,4.471900,2,0,2,11,19,12,11,10,49,49,Viável
5,0.000110,18,14,4,5.437627,6,0,6,8,21,13,8,7,55,55,Viável
6,0.000154,31,23,8,8.599698,7,0,7,17,31,20,17,16,83,83,Viável
7,0.000137,30,23,7,7.923219,7,0,7,17,31,20,17,16,83,83,Viável
8,0.000175,37,28,9,9.396178,9,0,9,18,33,21,18,17,89,89,Viável
9,0.000144,36,31,5,8.897446,5,0,5,21,34,22,21,20,91,91,Viável
10,0.000222,46,35,11,12.209456,12,1,11,20,39,25,3,300,103,103,Inviável
11,0.000176,45,42,3,11.069202,3,0,3,27,44,28,27,26,118,118,Viável
12,0.000247,52,42,10,13.095544,8,0,8,27,44,28,27,26,118,118,Viável
13,0.000236,56,45,11,13.975600,8,1,7,31,49,31,3,167,130,130,Inviável
14,0.000223,56,48,8,14.166484,4,0,4,31,50,32,31,30,132,132,Viável